,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
0,2000,0.0,10715120.957483,18.807815,-10715120.957483,1855.532322
1,1999,0.0,12900.055267,10.196338,-10702220.902216,2550.35578
2,1998,0.0,12060.380638,7.672633,-10690160.521578,2976.449662
3,1997,0.0,12849.112337,7.047662,-10677311.409241,3293.788778
4,1996,0.0,13521.439111,7.374546,-10663789.970131,3563.055922
5,1995,0.0,14146.663802,8.340642,-10649643.306328,3813.706793
6,1994,0.0,14739.439519,9.832223,-10634903.86681,4063.174421
7,1993,0.0,15241.848965,11.811273,-10619662.017844,4323.691345
8,1992,0.0,15560.144946,14.25462,-10604101.872898,4604.977399
9,1991,0.0,15598.851744,17.120561,-10588503.021154,4915.207595
10,1990,0.0,15289.092062,20.329747,-10573213.929092,5261.157479
11,1989,0.0,14608.730551,23.755595,-10558605.198541,5647.954773
12,1988,0.0,13591.156281,27.227151,-10545014.04226,6078.708821
13,1987,0.0,12319.55268,30.547632,-10532694.489581,6554.230773
14,1986,0.0,10907.27487,33.526199,-10521787.214711,7073.001747
15,1985,0.0,9470.989132,36.013349,-10512316.225578,7631.453323
16,1984,0.0,8106.694426,37.926947,-10504209.531152,8224.509965
17,1983,0.0,6876.539767,39.259341,-10497332.991385,8846.255905
18,1982,0.0,5808.164321,40.064753,-10491524.827065,9490.568752
19,1981,0.0,4902.672813,40.434521,-10486622.154251,10151.606674
20,1980,0.0,4145.426716,40.470922,-10482476.727536,10824.108248
21,1979,0.0,3515.2878,40.267656,-10478961.439736,11503.524388
22,1978,0.0,2990.578646,39.899836,-10475970.86109,12186.031196
23,1977,0.0,2551.996149,39.422029,-10473418.864941,12868.474709
24,1976,0.0,2183.505913,38.871079,-10471235.359028,13548.286331
25,1975,0.0,1872.21136,38.270711,-10469363.147667,14223.392791
26,1974,0.0,1607.850929,37.635955,-10467755.296738,14892.132652
27,1973,0.0,1382.252091,36.976578,-10466373.044648,15553.183922
28,1972,0.0,1188.865034,36.299367,-10465184.179613,16205.503434
29,1971,0.0,1022.398925,35.609484,-10464161.780689,16848.276906
30,1970,0.0,878.547036,34.911176,-10463283.233653,17480.87809
31,1969,0.0,753.779725,34.208111,-10462529.453928,18102.835389
32,1968,0.0,645.186998,33.503503,-10461884.266931,18713.804544
33,1967,0.0,550.357182,32.800172,-10461333.909748,19313.546213
34,1966,0.0,467.282221,32.100552,-10460866.627527,19901.907514
35,1965,0.0,394.282956,31.40672,-10460472.344571,20478.80678
36,1964,0.0,329.949666,30.720412,-10460142.394904,21044.220923
37,1963,0.0,273.094407,30.04306,-10459869.300497,21598.174941
38,1962,0.0,222.712574,29.375822,-10459646.587923,22140.733184
39,1961,0.0,177.951724,28.719618,-10459468.636199,22671.992068
40,1960,0.0,138.086178,28.075161,-10459330.550022,23192.073989
41,1959,0.0,102.496222,27.442989,-10459228.0538,23701.122238
42,1958,0.0,70.651016,26.82349,-10459157.402784,24199.296743
43,1957,0.0,42.09449,26.21693,-10459115.308294,24686.770511
44,1956,0.0,16.433677,25.623466,-10459098.874617,25163.726645
45,1955,0.0,6.670985,25.04317,-10459105.545603,25630.355853
46,1954,0.0,27.513724,24.476043,-10459133.059327,26086.85436
47,1953,0.0,46.350178,23.922026,-10459179.409505,26533.422169
48,1952,0.0,63.403042,23.38101,-10459242.812547,26970.26161
49,1951,0.0,78.866812,22.85285,-10459321.67936,27397.576128
50,1950,0.0,92.911785,22.337366,-10459414.591145,27815.569283
51,1949,0.0,105.687426,21.834357,-10459520.278571,28224.443917
52,1948,0.0,117.325229,21.343597,-10459637.6038,28624.401473
53,1947,0.0,127.941139,20.864851,-10459765.54494,29015.641431
54,1946,0.0,137.637621,20.397868,-10459903.182561,29398.360852
55,1945,0.0,146.505416,19.942392,-10460049.687977,29772.754011
56,1944,0.0,154.625052,19.498161,-10460204.313029,30139.012104
57,1943,0.0,162.068136,19.064908,-10460366.381165,30497.32301
58,1942,0.0,168.898466,18.642368,-10460535.279631,30847.871122
59,1941,0.0,175.172986,18.230274,-10460710.452617,31190.837207
60,1940,0.0,180.94262,17.82836,-10460891.395236,31526.39831
61,1939,0.0,186.252984,17.436366,-10461077.64822,31854.727695
62,1938,0.0,191.14501,17.054031,-10461268.79323,32175.994802
63,1937,0.0,195.655488,16.6811,-10461464.448718,32490.365234
64,1936,0.0,199.817539,16.317324,-10461664.266257,32798.000759
65,1935,0.0,203.661021,15.962456,-10461867.927277,33099.059331
66,1934,0.0,207.212898,15.616256,-10462075.140175,33393.69512
67,1933,0.0,210.497552,15.278489,-10462285.637727,33682.058554
68,1932,0.0,213.537062,14.948926,-10462499.174789,33964.29637
69,1931,0.0,216.351446,14.627343,-10462715.526235,34240.551672
70,1930,0.0,218.958884,14.313522,-10462934.485119,34510.963992
71,1929,0.0,221.375899,14.007252,-10463155.861018,34775.669362
72,1928,0.0,223.617534,13.708325,-10463379.478552,35034.800381
73,1927,0.0,225.697498,13.416543,-10463605.17605,35288.486288
74,1926,0.0,227.628298,13.131709,-10463832.804348,35536.853041
75,1925,0.0,229.421358,12.853634,-10464062.225706,35780.023389
76,1924,0.0,231.087126,12.582136,-10464293.312832,36018.116952
77,1923,0.0,232.635165,12.317035,-10464525.947997,36251.250295
78,1922,0.0,234.074239,12.058158,-10464760.022236,36479.537007
79,1921,0.0,235.412386,11.805338,-10464995.434622,36703.087778
80,1920,0.0,236.656986,11.558412,-10465232.091608,36922.010471
81,1919,0.0,237.814822,11.317221,-10465469.90643,37136.410201
82,1918,0.0,238.892135,11.081612,-10465708.798565,37346.389405
83,1917,0.0,239.894667,10.851437,-10465948.693231,37552.047916
84,1916,0.0,240.827714,10.626552,-10466189.520945,37753.483033
85,1915,0.0,241.696156,10.406816,-10466431.217101,37950.789592
86,1914,0.0,242.504501,10.192095,-10466673.721602,38144.06003
87,1913,0.0,243.25691,9.982256,-10466916.978512,38333.384456
88,1912,0.0,243.957233,9.777172,-10467160.935745,38518.850715
89,1911,0.0,244.609029,9.57672,-10467405.544773,38700.544445
90,1910,0.0,245.215594,9.38078,-10467650.760367,38878.549148
91,1909,0.0,245.779981,9.189235,-10467896.540348,39052.946241
92,1908,0.0,246.305023,9.001972,-10468142.845372,39223.815121
93,1907,0.0,246.793346,8.818882,-10468389.638718,39391.233216
94,1906,0.0,247.247387,8.639859,-10468636.886105,39555.276044
95,1905,0.0,247.669412,8.4648,-10468884.555517,39716.017264
96,1904,0.0,245.474332,8.293604,-10469130.029849,39873.528729
97,1903,0.0,239.085925,8.126174,-10469369.115774,40027.880538
98,1902,0.0,230.792557,7.962417,-10469599.908331,40179.141078
99,1901,0.0,218.438061,7.802241,-10469818.346391,40327.377082
100,1900,0.0,212.609011,7.645556,-10470030.955402,40472.653665
101,1899,0.0,207.877062,7.492278,-10470238.832464,40615.034373
102,1898,0.0,191.37477,7.342321,-10470430.207234,40754.58123
103,1897,0.0,191.652274,7.195605,-10470621.859508,40891.35477
104,1896,0.0,176.080992,7.05205,-10470797.9405,41025.414089
105,1895,0.0,174.551061,6.91158,-10470972.49156,41156.816876
106,1894,0.0,174.790028,6.77412,-10471147.281588,41285.619454
107,1893,0.0,175.013329,6.639598,-10471322.294917,41411.876819
108,1892,0.0,152.235759,6.507943,-10471474.530676,41535.642673
109,1891,0.0,138.926973,6.379087,-10471613.457649,41656.969461
110,1890,0.0,139.136136,6.252963,-10471752.593785,41775.908402
111,1889,0.0,139.33247,6.129506,-10471891.926255,41892.509525
112,1888,0.0,139.516718,6.008653,-10472031.442973,42006.821699
113,1887,0.0,139.68958,5.890344,-10472171.132553,42118.892664
114,1886,0.0,139.851712,5.774518,-10472310.984265,42228.769061
115,1885,0.0,140.003728,5.661118,-10472450.987993,42336.496459
116,1884,0.0,140.14621,5.550087,-10472591.134203,42442.119388
117,1883,0.0,140.2797,5.441371,-10472731.413903,42545.681361
118,1882,0.0,140.404712,5.334915,-10472871.818614,42647.224902
119,1881,0.0,140.521727,5.230669,-10473012.340341,42746.791575
120,1880,0.0,100.255071,5.12858,-10473112.595412,42844.422002
121,1879,0.0,20.892315,5.028601,-10473133.487727,42940.155893
122,1878,0.0,21.066062,4.930683,-10473154.553789,43034.032069
123,1877,0.0,21.231831,4.83478,-10473175.78562,43126.08848
124,1876,0.0,21.390018,4.740845,-10473197.175637,43216.362233
125,1875,0.0,21.540997,4.648835,-10473218.716634,43304.889609
126,1874,0.0,21.685123,4.558707,-10473240.401757,43391.706085
127,1873,0.0,21.82273,4.470418,-10473262.224487,43476.846356
128,1872,0.0,21.954135,4.383927,-10473284.178621,43560.344351
129,1871,0.0,22.079638,4.299194,-10473306.25826,43642.233257
130,1870,0.0,22.199524,4.216181,-10473328.457784,43722.545531
131,1869,0.0,22.314063,4.13485,-10473350.771847,43801.312924
132,1868,0.0,22.423508,4.055163,-10473373.195355,43878.566495
133,1867,0.0,22.528103,3.977084,-10473395.723458,43954.336629
134,1866,0.0,22.628077,3.900578,-10473418.351535,44028.653053
135,1865,0.0,22.723647,3.825612,-10473441.075182,44101.544853
136,1864,0.0,22.81502,3.75215,-10473463.890202,44173.040487
137,1863,0.0,22.902392,3.680162,-10473486.792594,44243.167803
138,1862,0.0,22.985949,3.609614,-10473509.778543,44311.954054
139,1861,0.0,23.065869,3.540476,-10473532.844412,44379.425907
140,1860,0.0,23.142318,3.472718,-10473555.98673,44445.609465
141,1859,0.0,23.215457,3.406309,-10473579.202187,44510.530272
142,1858,0.0,23.285437,3.341222,-10473602.487624,44574.213335
143,1857,0.0,23.352402,3.277427,-10473625.840026,44636.683127
144,1856,0.0,23.416489,3.214898,-10473649.256515,44697.963609
145,1855,0.0,23.477829,3.153607,-10473672.734345,44758.078235
146,1854,0.0,23.536546,3.093528,-10473696.270891,44817.049966
147,1853,0.0,23.592757,3.034636,-10473719.863648,44874.901284
148,1852,0.0,23.646576,2.976905,-10473743.510224,44931.654199
149,1851,0.0,23.698108,2.920312,-10473767.208332,44987.330263
150,1850,0.0,20.704343,2.864831,-10473787.912675,45041.950578
151,1849,0.0,15.896702,2.810441,-10473803.809377,45095.535809
152,1848,0.0,15.945477,2.757119,-10473819.754854,45148.106193
153,1847,0.0,15.992276,2.704841,-10473835.747131,45199.681546
154,1846,0.0,16.037184,2.653586,-10473851.784315,45250.281277
155,1845,0.0,16.080282,2.603334,-10473867.864597,45299.924395
156,1844,0.0,16.121648,2.554063,-10473883.986246,45348.629518
157,1843,0.0,16.161357,2.505753,-10473900.147602,45396.41488
158,1842,0.0,16.199477,2.458384,-10473916.347079,45443.298346
159,1841,0.0,16.236078,2.411937,-10473932.583158,45489.297412
160,1840,0.0,16.271223,2.366393,-10473948.854381,45534.429217
161,1839,0.0,16.304974,2.321734,-10473965.159355,45578.710553
162,1838,0.0,16.33739,2.277941,-10473981.496745,45622.157871
163,1837,0.0,16.368526,2.234996,-10473997.865271,45664.787285
164,1836,0.0,16.398436,2.192884,-10474014.263707,45706.614585
165,1835,0.0,16.427171,2.151585,-10474030.690878,45747.655242
166,1834,0.0,16.454781,2.111085,-10474047.145659,45787.924413
167,1833,0.0,16.481311,2.071366,-10474063.62697,45827.436952
168,1832,0.0,13.317327,2.032414,-10474076.944297,45866.20741
169,1831,0.0,13.024399,1.994211,-10474089.968696,45904.25005
170,1830,0.0,13.04918,1.956745,-10474103.017876,45941.578846
171,1829,0.0,13.073025,1.919999,-10474116.090901,45978.207495
172,1828,0.0,13.095972,1.883959,-10474129.186874,46014.149417
173,1827,0.0,13.118057,1.848611,-10474142.304931,46049.417766
174,1826,0.0,13.139315,1.813941,-10474155.444246,46084.025434
175,1825,0.0,13.159778,1.779935,-10474168.604024,46117.985055
176,1824,0.0,13.179479,1.746581,-10474181.783503,46151.309012
177,1823,0.0,13.198447,1.713866,-10474194.981951,46184.009444
178,1822,0.0,13.216713,1.681775,-10474208.198663,46216.098248
179,1821,0.0,13.234303,1.650298,-10474221.432966,46247.587085
180,1820,0.0,13.251244,1.619422,-10474234.68421,46278.487387
181,1819,0.0,13.267562,1.589135,-10474247.951772,46308.810359
182,1818,0.0,13.283282,1.559426,-10474261.235054,46338.566986
183,1817,0.0,13.298426,1.530282,-10474274.53348,46367.768037
184,1816,0.0,13.313018,1.501693,-10474287.846498,46396.424067
185,1815,0.0,13.327078,1.473648,-10474301.173576,46424.545427
186,1814,0.0,13.340628,1.446137,-10474314.514204,46452.142262
187,1813,0.0,13.353687,1.419148,-10474327.867891,46479.224521
188,1812,0.0,13.366275,1.392671,-10474341.234166,46505.801955
189,1811,0.0,13.378409,1.366697,-10474354.612575,46531.884126
190,1810,0.0,13.390106,1.341215,-10474368.002681,46557.480411
191,1809,0.0,13.401385,1.316216,-10474381.404066,46582.600002
192,1808,0.0,13.41226,1.291691,-10474394.816325,46607.251912
193,1807,0.0,13.422747,1.26763,-10474408.239072,46631.44498
194,1806,0.0,13.432861,1.244024,-10474421.671933,46655.187871
195,1805,0.0,13.442616,1.220864,-10474435.114549,46678.489084
196,1804,0.0,13.452026,1.198142,-10474448.566575,46701.356951
197,1803,0.0,13.461103,1.175849,-10474462.027679,46723.799645
198,1802,0.0,13.469861,1.153977,-10474475.49754,46745.825179
199,1801,0.0,13.478311,1.132518,-10474488.975851,46767.44141
200,1800,0.0,13.486465,1.111463,-10474502.462316,46788.656046
201,1799,0.0,12.144709,1.090805,-10474514.607025,46809.476645
202,1798,0.0,9.149974,1.070536,-10474523.756999,46829.910617
203,1797,0.0,9.158279,1.050648,-10474532.915278,46849.965233
204,1796,0.0,9.166312,1.031135,-10474542.08159,46869.647622
205,1795,0.0,9.174082,1.011989,-10474551.255672,46888.964775
206,1794,0.0,9.181598,0.993202,-10474560.43727,46907.92355
207,1793,0.0,9.18887,0.974769,-10474569.62614,46926.530673
208,1792,0.0,9.195906,0.956682,-10474578.822046,46944.792741
209,1791,0.0,9.202715,0.938935,-10474588.024762,46962.716225
210,1790,0.0,9.209305,0.92152,-10474597.234067,46980.30747
211,1789,0.0,9.215683,0.904432,-10474606.44975,46997.572702
212,1788,0.0,9.221857,0.887665,-10474615.671608,47014.518027
213,1787,0.0,9.227835,0.871212,-10474624.899442,47031.149434
214,1786,0.0,9.233622,0.855067,-10474634.133064,47047.472797
215,1785,0.0,9.239226,0.839224,-10474643.37229,47063.49388
216,1784,0.0,9.244653,0.823678,-10474652.616943,47079.218334
217,1783,0.0,9.249909,0.808423,-10474661.866852,47094.651706
218,1782,0.0,9.255,0.793453,-10474671.121852,47109.799435
219,1781,0.0,6.649489,0.778764,-10474677.77134,47124.666857
220,1780,0.0,5.281107,0.764348,-10474683.052448,47139.259205
221,1779,0.0,5.28643,0.750203,-10474688.338877,47153.581616
222,1778,0.0,5.291596,0.736321,-10474693.630474,47167.639126
