,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
0,2000,0.0,2410181.609774,12.460352,-2410181.609774,941.171569
1,1999,0.0,2073.122098,6.748643,-2408108.487676,1304.6758
2,1998,0.0,5511.795583,5.092083,-2402596.692092,1503.57676
3,1997,0.0,7787.11687,5.221998,-2394809.575223,1646.218732
4,1996,0.0,9254.659612,6.532417,-2385554.91561,1777.335553
5,1995,0.0,10174.670141,8.809848,-2375380.245469,1921.134998
6,1994,0.0,10504.721842,11.980124,-2364875.523627,2094.008339
7,1993,0.0,10152.32813,15.914675,-2354723.195497,2307.938548
8,1992,0.0,9152.092586,20.29782,-2345571.102911,2570.355694
9,1991,0.0,7721.456218,24.631505,-2337849.646693,2883.124197
10,1990,0.0,6171.524507,28.369291,-2331678.122186,3242.486377
11,1989,0.0,4762.579202,31.113676,-2326915.542984,3640.592557
12,1988,0.0,3622.991683,32.759909,-2323292.551301,4067.918117
13,1987,0.0,2763.030528,33.485712,-2320529.520773,4515.380856
14,1986,0.0,2133.086948,33.601741,-2318396.433825,4975.483436
15,1985,0.0,1672.282953,33.389687,-2316724.150872,5442.553064
16,1984,0.0,1330.51786,33.029334,-2315393.633012,5912.495063
17,1983,0.0,1072.229046,32.608655,-2314321.403966,6382.415145
18,1982,0.0,873.382229,32.161941,-2313448.021737,6850.281848
19,1981,0.0,717.750834,31.700451,-2312730.270903,7314.672746
20,1980,0.0,594.176563,31.228411,-2312136.09434,7774.59577
21,1979,0.0,494.809754,30.748976,-2311641.284585,8229.365661
22,1978,0.0,414.008974,30.265527,-2311227.275612,8678.518239
23,1977,0.0,347.643232,29.781483,-2310879.632379,9121.750164
24,1976,0.0,292.63806,29.299926,-2310586.994319,9558.876003
25,1975,0.0,246.67244,28.823402,-2310340.321879,9989.797189
26,1974,0.0,207.971727,28.353879,-2310132.350153,10414.479315
27,1973,0.0,175.163332,27.892804,-2309957.186821,10832.935368
28,1972,0.0,147.174412,27.441195,-2309810.012409,11245.213224
29,1971,0.0,123.158252,26.999727,-2309686.854158,11651.386281
30,1970,0.0,102.44059,26.568812,-2309584.413568,12051.546387
31,1969,0.0,84.480005,26.148661,-2309499.933563,12445.798485
32,1968,0.0,68.838361,25.739332,-2309431.095203,12834.256544
33,1967,0.0,55.158524,25.340773,-2309375.936678,13217.040463
34,1966,0.0,43.147412,24.95285,-2309332.789266,13594.273707
35,1965,0.0,32.562969,24.575368,-2309300.226297,13966.08151
36,1964,0.0,23.204085,24.20809,-2309277.022212,14332.589512
37,1963,0.0,14.90273,23.850749,-2309262.119482,14693.922724
38,1962,0.0,7.517769,23.50306,-2309254.601713,15050.204757
39,1961,0.0,0.930061,23.164727,-2309253.671652,15401.55724
40,1960,0.0,4.961444,22.835449,-2309258.633096,15748.099408
41,1959,0.0,10.242832,22.514922,-2309268.875928,16089.947794
42,1958,0.0,14.987756,22.202846,-2309283.863683,16427.216029
43,1957,0.0,19.259482,21.898926,-2309303.123166,16760.014707
44,1956,0.0,23.112563,21.602871,-2309326.235729,17088.451304
45,1955,0.0,26.594208,21.3144,-2309352.829936,17412.630151
46,1954,0.0,29.745412,21.03324,-2309382.575348,17732.652431
47,1953,0.0,32.601892,20.759127,-2309415.17724,18048.616205
48,1952,0.0,35.194862,20.491805,-2309450.372102,18360.616459
49,1951,0.0,37.551685,20.231031,-2309487.923786,18668.745164
50,1950,0.0,39.696413,19.976567,-2309527.620199,18973.091343
51,1949,0.0,41.650249,19.728189,-2309569.270448,19273.741157
52,1948,0.0,43.43193,19.485678,-2309612.702378,19570.77798
53,1947,0.0,45.058058,19.248827,-2309657.760436,19864.28249
54,1946,0.0,46.543377,19.017436,-2309704.303813,20154.332759
55,1945,0.0,47.90101,18.791315,-2309752.204824,20441.004337
56,1944,0.0,49.142666,18.570281,-2309801.34749,20724.370344
57,1943,0.0,50.27881,18.354159,-2309851.626299,21004.501557
58,1942,0.0,51.318818,18.142781,-2309902.945118,21281.466493
59,1941,0.0,52.271107,17.935988,-2309955.216224,21555.3315
60,1940,0.0,53.143242,17.733626,-2310008.359466,21826.160831
61,1939,0.0,53.942041,17.535548,-2310062.301508,22094.016727
62,1938,0.0,54.673656,17.341614,-2310116.975164,22358.959495
63,1937,0.0,55.343648,17.151689,-2310172.318812,22621.047578
64,1936,0.0,55.957051,16.965644,-2310228.275863,22880.337633
65,1935,0.0,56.51843,16.783356,-2310284.794292,23136.884591
66,1934,0.0,57.031931,16.604706,-2310341.826224,23390.741732
67,1933,0.0,57.501326,16.429581,-2310399.32755,23641.960741
68,1932,0.0,57.930049,16.257872,-2310457.257599,23890.591775
69,1931,0.0,58.321231,16.089475,-2310515.57883,24136.683517
70,1930,0.0,58.677732,15.924289,-2310574.256563,24380.283233
71,1929,0.0,59.002168,15.762219,-2310633.258731,24621.436827
72,1928,0.0,59.296932,15.603172,-2310692.555663,24860.188891
73,1927,0.0,59.564217,15.44706,-2310752.11988,25096.582755
74,1926,0.0,59.806038,15.293797,-2310811.925918,25330.660532
75,1925,0.0,60.024242,15.143302,-2310871.95016,25562.463165
76,1924,0.0,60.220531,14.995497,-2310932.170691,25792.03047
77,1923,0.0,60.396469,14.850304,-2310992.56716,26019.401177
78,1922,0.0,60.553499,14.707653,-2311053.120659,26244.612967
79,1921,0.0,60.69295,14.567472,-2311113.813609,26467.702514
