,Homo-naive,Homo-activated
Mrpl15,3.6256880987262967,10.054169005012096
Lypla1,2.3348648397253777,1.9990432151550042
Tcea1,5.8964394129830975,7.336248695719186
Rgs20,1e-323,1e-323
Atp6v1h,2.457695596560377,2.2434630808297555
Rb1cc1,4.971480849023252,1.3883490400796281
4732440D04Rik,0.6144238991400942,0.2236226393150056
St18,1e-323,1e-323
Pcmtd1,4.563324053299704,0.4587836916842045
Gm26901,1e-323,0.17889811145200446
Rrs1,1.2288477982801884,6.263253922806444
Adhfe1,1e-323,1e-323
2610203C22Rik,1e-323,1e-323
Mybl1,0.20480796638003138,0.08944905572600223
Vcpip1,3.461539104332436,1.2326405219083512
1700034P13Rik,1e-323,1e-323
Sgk3,0.8192318655201255,0.3577962229040089
Mcmdc2,0.40961593276006275,1e-323
Snhg6,8.415179524275521,16.08313461656972
Ppp1r42,1e-323,1e-323
Cops5,3.38839267458012,5.113460557248118
Cspp1,4.06014161164275,1.5645140998805591
Arfgef1,4.272711904858056,2.390426276264049
Cpa6,1e-323,1e-323
Prex2,1e-323,0.044724527863001115
A830018L16Rik,1e-323,1e-323
Slco5a1,1e-323,1e-323
Prdm14,1e-323,1e-323
Ncoa2,4.79813753777905,1.191678338900981
Gm29570,1e-323,1e-323
Tram1,5.466469026258103,2.460930203707946
Lactb2,1.638463731040251,1.8415125787116835
Xkr9,1e-323,1e-323
Eya1,1e-323,1e-323
Msc,1e-323,1e-323
Terf1,2.3348648397253777,0.7383018894213754
Sbspon,1e-323,1e-323
4930444P10Rik,1e-323,1e-323
Rpl7,211.55584783028564,177.3661775534498
Rdh10,0.40961593276006275,0.28836801560314945
Stau2,1e-323,0.044724527863001115
Ube2w,1.4336557646602197,1.6735151775905064
Eloc,7.432157734336764,9.579103694519777
D030040B21Rik,1e-323,1e-323
Tmem70,2.3348648397253773,3.4336448177070618
Ly96,0.6144238991400942,0.044724527863001115
Tfap2b,1e-323,1e-323
Il17a,1e-323,1e-323
Il17f,1e-323,1e-323
Mcm3,2.457695596560377,3.3981272687058683
6720483E21Rik,1e-323,1e-323
Paqr8,1e-323,0.044724527863001115
Efhc1,1e-323,1e-323
Tram2,1e-323,0.13417358358900333
Gm28287,1e-323,1e-323
Tmem14a,1e-323,0.044724527863001115
Gsta3,1e-323,1e-323
Gm28836,1e-323,1e-323
Khdc1a,1e-323,1e-323
Khdc1b,1e-323,1e-323
Kcnq5,1e-323,0.5814188622190146
Ogfrl1,1e-323,0.13417358358900333
B3gat2,0.20480796638003138,0.17889811145200446
Smap1,4.8396152194466335,3.2088283547947647
Sdhaf4,1.9777659186877001,1.6716733958190373
Fam135a,1e-323,0.08944905572600223
Lmbrd1,1.2517421168708742,0.8802479921865081
Phf3,10.663096637539377,3.723977827386722
Ptp4a1,1e-323,1e-323
Ptp4a1-1,0.20480796638003138,0.044724527863001115
4931428L18Rik,0.20480796638003138,1e-323
Khdrbs2,1e-323,1e-323
Gm37724,1e-323,1e-323
Prim2,1e-323,0.25591033111157435
Rab23,0.40961593276006275,0.17889811145200446
Bag2,1e-323,0.40252075076701
Zfp451,1.6910550806501097,1.1925685491417524
Bend6,0.2991182748563135,1e-323
Dst,0.20480796638003138,0.13417358358900333
Gm26788,1e-323,0.044724527863001115
Gm37233,0.20480796638003138,0.044724527863001115
Ccdc115,2.4231796644567107,4.115628137688593
Gm28306,1e-323,1e-323
Imp4,3.504676899825184,7.41584621524293
Ptpn18,59.41123990811392,13.021250716488904
Gm28417,1e-323,0.04889418913769773
4930568A12Rik,1e-323,1e-323
Arhgef4,0.40961593276006275,0.08944905572600223
Gm38336,0.20480796638003138,0.044724527863001115
Fam168b,3.276927462080502,1.8624816927002823
Plekhb2,0.40961593276006275,0.6997945417885764
Gm37068,1e-323,1e-323
Hs6st1,1.0240398319001567,0.4472452786300111
Gm37335,1e-323,1e-323
Gm33280,1e-323,1e-323
Uggt1,1.4336557646602197,1.6701890736631815
Neurl3,5.087253471332685,0.24099306643764368
Arid5a,4.230212289734797,1.5433688675527157
4930403P22Rik,0.40961593276006275,1e-323
Kansl3,1.843271697420282,1.5645140998805591
Fer1l5,1e-323,1e-323
Lman2l,0.20480796638003138,0.6708679179450165
Cnnm4,0.6144238991400942,0.2236226393150056
Cnnm3,0.8192318655201255,1.0314320882727046
Gm38033,1e-323,1e-323
Ankrd23,0.6144238991400942,0.044724527863001115
Ankrd39,1.472813124585776,0.9339034574880377
Sema4c,1e-323,1e-323
D430040D24Rik,1e-323,1e-323
Cox5b,12.435237888471525,16.418639224393228
Actr1b,2.0480796638003134,1.8343064842155195
4933424G06Rik,1e-323,1e-323
Zap70,4.710583226740723,6.874963629306512
Tmem131,1.2288477982801884,1.0299853550076132
Gm38115,1.4336557646602197,0.31307169504100785
Vwa3b,1e-323,1e-323
Gm37020,1e-323,1e-323
Inpp4a,0.6144238991400942,0.09738716519774064
Coa5,1.4336557646602197,2.402611917371548
Unc50,2.547019523778437,2.2960048004586633
Mgat4a,1.0240398319001567,0.31307169504100785
2010300C02Rik,1e-323,1e-323
4930556I23Rik,1e-323,1e-323
Tsga10,0.20480796638003138,1e-323
Gm26805,1e-323,1e-323
Lipt1,0.40961593276006275,0.13417358358900333
Mitd1,3.806121546524595,1.5745277060011102
Mrpl30,13.666549244297197,11.72730295588753
Gm15457,1e-323,1e-323
Txndc9,4.4866057550014125,4.712014230158487
Eif5b,12.2487417168853,18.05121862300805
Rev1,1.638463731040251,0.6302993255799588
Aff3,2.6423908658951825,0.8697683354645813
Gm16150,1e-323,1e-323
Gm16151,1e-323,1e-323
Gm16152,1.0240398319001567,0.3301703474796376
Lonrf2,1e-323,1e-323
Chst10,0.40961593276006275,0.2683471671780067
Pdcl3,2.7438843404884943,3.843158977637012
Npas2,1e-323,0.17889811145200446
Rpl31,84.52960953298276,89.20688695180051
Tbc1d8,1e-323,1e-323
Cnot11,1.638463731040251,1.8040123793561333
Gm15832,1e-323,0.08944905572600223
Rnf149,0.20480796638003138,0.5223879522247699
Creg2,1e-323,1e-323
D930019O06Rik,1e-323,1e-323
Rfx8,1e-323,1e-323
1700066B17Rik,1e-323,1e-323
Map4k4,6.027663813958277,1.6038473003210811
Il1r2,0.20480796638003138,0.052225192626856334
Gm16894,1e-323,0.044724527863001115
Il1r1,1e-323,1e-323
Il1rl2,0.40961593276006275,1e-323
Il1rl1,1e-323,1e-323
Il18r1,1.4336557646602197,0.13417358358900333
Il18rap,1e-323,1e-323
Slc9a2,1e-323,1e-323
Gm37915,1e-323,1e-323
Mfsd9,1e-323,1e-323
Mrps9,4.014470760157855,2.536590063949116
Gpr45,1e-323,0.044724527863001115
Tgfbrap1,1.638463731040251,0.7473855251971686
8430432A02Rik,1e-323,1e-323
AI597479,1e-323,0.5226741225951009
Fhl2,1e-323,0.044724527863001115
Nck2,1.2288477982801884,0.2236226393150056
Ecrg4,1e-323,1e-323
Gm29155,1e-323,0.044724527863001115
Gm29156,1e-323,1e-323
Uxs1,0.20480796638003138,0.7916926110512964
Tpp2,5.12435303340389,3.0984642525418353
Mettl21c,0.20480796638003138,0.044724527863001115
Gm8251,1.2789850125753222,0.14553786029437668
Tex30,1.4336557646602197,1.9068340722618862
Poglut2,0.20480796638003138,0.24099306643764368
Bivm,0.20480796638003138,0.2378851524772021
Ercc5,0.40961593276006275,0.8420985564457101
Col5a2,1e-323,1e-323
Wdr75,1.0267387950014468,5.836548812594292
Dnah7c,1e-323,1e-323
Slc39a10,1.2288477982801884,0.6792564461650827
Gm28151,1e-323,1e-323
Gm28826,1e-323,1e-323
4933411E06Rik,0.20480796638003138,1e-323
Gm29325,1e-323,0.044724527863001115
1700072G22Rik,1e-323,1e-323
Nabp1,0.6144238991400942,3.0089059145700268
Gm17767,1e-323,0.08944905572600223
Myo1b,1e-323,1e-323
Stat4,5.546920026755492,0.7892363981603541
Gm31812,1e-323,1e-323
Stat1,10.427953082904764,7.363361457475944
Gls,4.915391193120754,5.1521803130463635
Nab1,2.0480796638003134,1.460488130018131
Gm553,1e-323,1e-323
Nemp2,0.8192318655201255,0.044724527863001115
Mfsd6,1.4336557646602197,0.19339362921676798
Gm29670,0.20480796638003138,1e-323
Inpp1,1.69105508065011,0.14553786029437668
Hibch,0.795960449896586,0.7455045409703129
1700019D03Rik,1e-323,0.08944905572600223
1700019A02Rik,1e-323,1e-323
Pms1,0.8192318655201255,0.3107610851480315
Gm28777,1e-323,1e-323
Ormdl1,1.638463731040251,1.3204528585262663
Osgepl1,1e-323,0.31307169504100785
Asnsd1,2.3348648397253773,3.4024985710417037
Dnah7a,1e-323,1e-323
Stk17b,13.026699309428317,4.322805226892389
Hecw2,1e-323,1e-323
Ccdc150,1e-323,1e-323
Gtf3c3,1.2288477982801884,0.6708679179450165
Pgap1,0.6144238991400942,0.13417358358900333
Ankrd44,9.164015133385593,1.6418845462403435
4930444A19Rik,1e-323,1e-323
Sf3b1,22.344874168159908,13.476330544164675
Coq10b,1.2288477982801884,1.7362104810076089
Hspd1,13.116848503127677,54.927035530736276
Hspe1,23.175441743829865,61.484666074970235
Mob4,4.77349257577312,2.4762474919053252
Rftn2,1e-323,1e-323
Gm10561,1e-323,1e-323
Mars2,1e-323,0.48743887107438727
Boll,1e-323,0.08944905572600223
Plcl1,1e-323,1e-323
9130024F11Rik,1e-323,1e-323
4930558J18Rik,1e-323,1e-323
1700066M21Rik,1e-323,0.17889811145200446
Tyw5,1.2288477982801884,0.6040643783200165
Maip1,2.0480796638003134,1.671673395819037
Spats2l,1e-323,1e-323
Kctd18,0.7880957367950825,0.569138149986682
Sgo2a,1e-323,0.08944905572600223
Aox1,1e-323,1e-323
Aox4,1e-323,1e-323
Gm15759,1e-323,1e-323
Aox2,1e-323,1e-323
Bzw1,11.100108841813466,19.885436885715322
Clk1,18.104414257281096,4.749538336471605
Ppil3,2.968911234741116,3.1507289686237825
Nif3l1,0.40961593276006275,1.0314320882727053
Orc2,0.6144238991400942,2.8942766436244267
Gm15834,1e-323,1e-323
Fam126b,1.2288477982801884,1.0299853550076132
Ndufb3,10.730405093424835,7.975938300777328
Flacc1,1e-323,1e-323
Cflar,7.297623942307129,5.60216478714123
Casp8,4.983275715284672,1.6831664099091044
Trak2,0.40961593276006275,0.7155924458080178
Stradb,0.6144238991400942,0.2683471671780067
C2cd6,1e-323,1e-323
Tmem237,0.20480796638003138,0.3604727387925434
G730003C15Rik,1e-323,1e-323
Mpp4,0.20480796638003138,1e-323
Gm29017,1e-323,1e-323
Als2,0.20480796638003138,0.08944905572600223
Cdk15,1e-323,1e-323
Fzd7,1e-323,1e-323
Gm973,1e-323,1e-323
Sumo1,11.398065110405655,9.209937351439397
Nop58,7.435043202561995,24.64545162833434
Bmpr2,0.20480796638003138,0.17889811145200446
Fam117b,0.8192318655201255,0.6154985722164933
Ica1l,1e-323,0.044724527863001115
Wdr12,3.461539104332437,5.912643412488506
Carf,0.8192318655201255,0.2683471671780067
Nbeal1,0.8192318655201255,0.4472452786300111
Cyp20a1,0.40961593276006275,0.8420985564457101
Abi2,1e-323,0.3604727387925434
Raph1,0.40961593276006275,0.6274734294720526
Cd28,12.21619623966781,9.112387930118148
Gm11579,0.20480796638003138,0.08944905572600223
2310016D23Rik,1e-323,1e-323
Ctla4,0.8192318655201255,0.7308133969970825
Icos,3.2908039308441257,3.0395008054040353
Gm11588,1e-323,1e-323
Pard3b,1e-323,1e-323
Pard3bos1,1e-323,1e-323
Gm29084,1e-323,1e-323
Nrp2,1e-323,1e-323
Ino80d,3.7176967131232663,2.4733019310777475
Ino80dos,1e-323,1e-323
Gm20342,0.8192318655201255,0.13417358358900333
Ndufs1,1.4336557646602197,1.8376485563508533
Eef1b2,121.50496878164131,116.11095380716132
Gpr1,1e-323,1e-323
Zdbf2,1e-323,1e-323
Adam23,1e-323,1e-323
Fastkd2,0.6144238991400942,1.7271366239406625
4933402D24Rik,1e-323,1e-323
Klf7,5.694684186435981,1.4959096628064177
Creb1,2.967166114882337,1.5759009166054696
Mettl21a,0.8192318655201255,0.6415717608182316
2810408I11Rik,1e-323,0.04889418913769773
Ccnyl1,0.20480796638003138,0.09738716519774064
Fzd5,1e-323,0.08944905572600223
Plekhm3,0.20480796638003138,0.08944905572600223
Cryga,1e-323,1e-323
D630023F18Rik,1e-323,1e-323
Idh1,0.40961593276006275,0.044724527863001115
Pikfyve,0.8192318655201255,0.6708679179450165
Pth2r,1e-323,1e-323
Map2,1e-323,1e-323
Unc80,1e-323,1e-323
Rpe,1.9071789612422365,0.9810154732656865
Kansl1l,1.0240398319001567,1e-323
Acadl,2.8598717139147,1.135091920969393
Lancl1,1.843271697420282,0.8321753573341133
Gm28497,1e-323,1e-323
Gm29113,1e-323,1e-323
Gm29114,1e-323,1e-323
Ikzf2,0.2991182748563135,0.6624446302940983
Gm29112,1e-323,1e-323
Gm28112,1e-323,0.08944905572600223
Bard1,1e-323,0.044724527863001115
Abca12,1e-323,1e-323
Atic,2.7438843404884943,3.339184066653938
Fn1,1e-323,0.044724527863001115
Mreg,1e-323,0.044724527863001115
Pecr,1e-323,0.47609590558217957
Xrcc5,0.795960449896586,2.2236555199411505
Smarcal1,0.40961593276006275,0.24099306643764368
Ankar,1e-323,1e-323
Rpl37a,460.8425848717657,229.11614651257648
Igfbp5,1e-323,1e-323
Tns1,0.20480796638003138,1e-323
Rufy4,1e-323,1e-323
Cxcr2,1e-323,1e-323
Cxcr1,1e-323,1e-323
Arpc2,41.40235518920767,32.12946372291547
Gpbar1,1e-323,1e-323
Aamp,4.563324053299704,5.118373610320452
Gm28364,1e-323,1e-323
Pnkd,2.1216681140022278,1.45829065143727
Tmbim1,1e-323,0.044724527863001115
Gm29358,0.20480796638003138,1e-323
Catip,1e-323,1e-323
Slc11a1,1e-323,1e-323
Ctdsp1,2.1216681140022278,0.707944606165474
Vil1,1e-323,1e-323
Usp37,0.8192318655201255,1.334448123728505
Cnot9,1.2288477982801884,1.5198116679796967
Plcd4,0.20480796638003138,1e-323
Zfp142,1.6910550806501097,0.5917283413361493
Bcs1l,0.8192318655201255,0.5226741225951009
Rnf25,1.0240398319001567,0.3825464866429552
Stk36,1e-323,1e-323
Ttll4,0.20480796638003138,0.5558863888453888
Cyp27a1,1e-323,1e-323
